"TL","Month","Freq","wtMean"
7.5,"Aug",10,9.93939393939394
8,"Aug",22,9.93939393939394
8.5,"Aug",2,9.93939393939394
9,"Aug",1,9.93939393939394
9.5,"Aug",0,9.93939393939394
10,"Aug",0,9.93939393939394
10.5,"Aug",12,9.93939393939394
11,"Aug",39,9.93939393939394
11.5,"Aug",8,9.93939393939394
12,"Aug",5,9.93939393939394
12.5,"Aug",0,9.93939393939394
13,"Aug",0,9.93939393939394
7.5,"Sep",0,10.7983870967742
8,"Sep",0,10.7983870967742
8.5,"Sep",47,10.7983870967742
9,"Sep",45,10.7983870967742
9.5,"Sep",15,10.7983870967742
10,"Sep",11,10.7983870967742
10.5,"Sep",21,10.7983870967742
11,"Sep",133,10.7983870967742
11.5,"Sep",61,10.7983870967742
12,"Sep",59,10.7983870967742
12.5,"Sep",19,10.7983870967742
13,"Sep",23,10.7983870967742
